what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1324023025777
stopped,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1324023025777
stopped,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1324023025777
stopped,bundle,org.eclipse.ui.presentations.r21,3.2.100.M20091015-0930,"org.eclipse.ui.presentations.r21",1324023025778
stopped,bundle,org.eclipse.jet,1.0.2.v201001281539,"org.eclipse.jet",1324023025778
stopped,bundle,org.modelica.mdt.debug.core,0.7.7,"org.modelica.mdt.debug.core",1324023025778
stopped,bundle,org.modelica.mdt.core,0.7.7,"org.modelica.mdt.core",1324023025779
stopped,bundle,org.python.pydev.ast,2.0.0.2011040403,"org.python.pydev.ast",1324023025779
stopped,bundle,org.eclipse.jem.beaninfo,2.0.300.v200905030615,"org.eclipse.jem.beaninfo",1324023025779
stopped,bundle,org.eclipse.jem.workbench,2.0.201.v200911302230,"org.eclipse.jem.workbench",1324023025779
stopped,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1324023025779
stopped,bundle,org.eclipse.jem.proxy,2.0.201.v200908101600,"org.eclipse.jem.proxy",1324023025779
