learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100000.0,8.054921316,2.3670458910755812E-7,100000.0,26.724999999999998,15.880844920992901,17.600953591147793,100000.0,113592.0,10.0,20.0,20.0,0.0,140.2,35.528017113258656,2877.6000000000004,65.88393835627419,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200000.0,14.370415683,4.222023069493224E-7,200000.0,27.297500000000003,16.467226823223214,18.16191451759965,200000.0,113536.0,10.0,20.0,20.0,0.0,157.1,49.93605911563306,2872.0,33.199732261303275,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300000.0,20.027982678,5.883052307976162E-7,300000.0,26.979999999999997,16.102623972297696,17.822402454899102,300000.0,113488.0,10.0,20.0,20.0,0.0,129.9,30.744267758396845,2867.1999999999994,46.36013613248154,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400000.0,25.663384958,7.538973680487482E-7,400000.0,27.04475,16.151784039928483,17.81472750980773,400000.0,113584.0,10.0,20.0,20.0,0.0,287.5,110.82350833645359,2876.8,54.16944608253706,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
500000.0,37.687440609,1.1051747955265434E-6,500000.0,26.9868,16.091632260319304,17.742357055303195,500000.0,112928.0,10.0,20.0,20.0,0.0,132.20000000000002,40.91258974936688,2811.2000000000003,97.73396998428382,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600000.0,59.072343183,1.721471855825277E-6,600000.0,27.078333333333333,16.18113776773547,17.806186186750324,600000.0,111400.0,10.0,20.0,20.0,0.0,168.0,59.39696961966999,2658.3999999999996,270.14807462246,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
700000.0,64.58342547,1.8839127955932958E-6,700000.0,27.040285714285716,16.14707502205764,17.772149779182456,700000.0,113936.0,10.0,20.0,20.0,0.0,195.39999999999998,76.75780090648767,2912.0,19.81245399574047,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
800000.0,70.112502534,2.0471473264750883E-6,800000.0,27.090750000000003,16.208564084101564,17.828710375908496,800000.0,114120.0,10.0,20.0,20.0,0.0,143.0,35.55559027776082,2930.4,21.26823400702977,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
